Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
CHIBOUGAMAU CHAPAIS A,49.767,-74.533,QC,-6.5,8,NA,10,8,-22.9,8,56.8,8,NA,89.2,8,NA,15,16,,,NA,564,0,7091404
LA GRANDE 4 A,53.755,-73.675,QC,-9.8,2,NA,3.4,2,-29.8,2,,,NA,0,2,NA,,0,,,NA,805.1,0,7093714
LA GRANDE RIVIERE A,53.625,-77.704,QC,-9.3,0,NA,6.9,0,-23,0,23,0,NA,44.2,0,NA,6,8,,,NA,846.3,0,7093716
LA GRANDE IV A,53.757,-73.679,QC,,,NA,,,,,24.2,0,NA,36.4,0,NA,3,13,,,NA,,,7093GJ3
LA GRANDE IV,53.757,-73.679,QC,-9.8,0,NA,6.6,0,-29.9,0,,,NA,28.7,0,NA,1,7,,,NA,861,0,7093GJ5
MATAGAMI A,49.762,-77.803,QC,-5.6,0,NA,10.7,0,-22.2,0,,,NA,28,0,NA,,9,,,NA,732.5,0,7094636
MATAGAMI,49.758,-77.793,QC,-5.7,0,NA,10.7,0,-22.7,0,,,NA,49.9,0,NA,0,11,,,NA,733.8,0,7094637
VAL-D'OR A,48.056,-77.787,QC,,,NA,,,,,52.4,0,NA,116.4,0,NA,14,18,,,NA,,,7098600
VAL-D'OR,48.056,-77.786,QC,-3.5,1,NA,11.7,1,-24.9,0,,,NA,97.5,1,NA,4,16,,,NA,645.8,0,7098603
VAL D'OR A,48.053,-77.783,QC,-3.6,1,NA,11.7,1,-24.6,1,,,NA,94.7,1,NA,,10,,,NA,647.5,0,7098605
LAC BERRY,48.8,-78.283,QC,-4.8,10,8,7,9,-27,5,18.5,9,NA,16.5,17,NA,14,4,,,NA,479.7,0,709CEE9
INUKJUAK,58.472,-78.077,QC,-15.1,1,NA,-0.1,1,-34.5,1,,,NA,0.2,2,NA,,0,,,NA,994.4,0,7103280
KUUJJUARAPIK,55.367,-77.567,QC,-8.4,2,NA,6.3,2,-22.7,0,,,NA,44.5,2,NA,0,8,,,NA,764.2,0,7103539
INUKJUAK A,58.472,-78.077,QC,-15.5,1,NA,-0.3,0,-35.7,1,,,NA,31.2,1,NA,,9,,,NA,1004.3,0,710S005
KUUJJUAQ A,58.089,-68.422,QC,-16.3,0,NA,4.2,0,-32.5,0,38.8,0,NA,40.2,0,NA,27,12,,,NA,1063,0,7113535
PARC NATIONAL DES PINGUALUIT,61.313,-73.668,QC,-23.6,4,NA,-7.6,3,-33,2,,,NA,9.7,6,NA,6,3,,,NA,1123.4,0,7115800
RIVIERE AUX FEUILLES,57.909,-72.976,QC,-17,9,NA,3.6,9,-39.5,4,,,NA,14.1,9,NA,0,5,,,NA,770.4,0,7116505
SALLUIT,62.179,-75.67,QC,-19.9,1,NA,-5.9,1,-29.7,0,,,NA,12,1,NA,,5,,,NA,1138.4,0,7117800
SCHEFFERVILLE A,54.805,-66.805,QC,-14,7,NA,1.6,7,-39.6,6,,,NA,,,NA,,,,,NA,768.6,0,7117823
SCHEFFERVILLE,54.8,-66.8,QC,-14.8,0,NA,2.4,0,-40.7,0,,,NA,26.3,4,NA,37,6,,,NA,1016.8,0,7117827
